この皿はプラスチックで、そして、このコップは紙でできている。;This plate is made from plastic, and this cup is made from paper.;"---N でできている This grammar (でできている）is used when describing something specific. i.e. the ""plate"" and ""cup."""
チーズやヨーグルトは牛乳からできます。;Cheese and yogurt are made from milk.;からできます。  N  から indicates the materials are not immediately obvious. できる is used for general statements.
プラスチックは石油からできる。;Plastic is made from petroleum.;からできます。  N  から indicates the materials are not immediately obvious. できる is used for general statements.
ワインはブドウからできますが、お酒はお米からできます。;Wine is made from grapes, but sake is made from rice.;からできます。  N  から indicates the materials are not immediately obvious. できる is used for general statements.
日本には木でできた家が多いが、この国の家はたいてい石でできている;In Japan, most houses are made out of wood, but houses in this country are usually made out of stone.;"---N でできている This grammar (でできている）is used when describing something specific. i.e. the ""plate"" and ""cup."""
この荷物の重さは何キロくらいでしょうか。;How heavy do you think this bag is? / I wonder how heavy;"The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."""
富士山の高さは何キロくらいでしょうか。;About how many meters is the height of Mt. Fuji, I wonder.;"The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."""
この話の良さがわからない人はいないと思います。;I don't think there's anyone who wouldn't understand the merit of this story.;"The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."""
日本の携帯電話の便利さには、びっくりした。;I was surprised by how useful Japanese cell phones are.;"The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."""
この本のよさがよく分かる。;"I know well the ""goodness"" of this book.";よさ　is the irregular conjugation of いい　to a noun by the addition of the suffix -さ。
これはチョコレートのように見えるけれど、消しゴムだから、食べられませんよ。;You can see that this looks like chocolate, but it is an eraser, so you can't eat it.;N のように used when X is as Y shows, says, explains.
この写真を見れば分かるように、ロンドンには、色々な名所がある。;As you can see if you look at these photos, there are various famous locations in London.;V-plain のように used when X does something as shown/said/explained/etc. in/by Y.
小さい猫の声は、赤ちゃんが泣いているように聞こえます。;The voice of a small cat sounds like a crying baby.;V-plain ように used when X resembles Y
 先生がおっしゃるように、言葉は毎日勉強しなければ上手にならないと思います。;Like our teacher says, I don't think you can become skillful at a language unless you practice every day.;V-plain ように used when X resembles Y
この写真を見れば分かるように、ロンドンには、色々な名所がある。;The kitten's meowing sounds like a baby crying.;V-plain ように used when X resembles Y
この本に書いてあるように作れば、おいしいドレッシングができるよ。;You can make delicious dressing if you follow the recipe in this book (lt. make it as if it's written in this book).;V-plain ように used when X resembles Y
小さい猫の声は、赤ちゃんが泣いているように聞こえます。;The voice of a small cat sounds like a crying baby.;V-plain ように used when X resembles Y
エジプトはピラミッドやスフィンクスで有名です。;Egypt is famous for pyramids and the sphinx.;ーはNで有名です。 -- is famous for N.
このお寺は古い桜の木があることで知られている。;This temple is known for its old cherry blossom trees.;---はSことで知られている。  --- is known for S(entence/statement).
熊は冬眠する(to hibernate)ことで知られていますが、動物園の熊も冬眠をしますか。;Bears are known for hibernating, but do bears in zoos hinbernate, too?;---はSことで知られている。  --- is known for S(entence/statement).
スミスさんは昼は大学で勉強し、夜は病院で掃除のアルバイトをしている。;Smith studies at college during the day and does part-time janitorial work at a hospital at night.;"A-stem + く、－  The stem of an i-adjective (多い）+ く indicate that the sentece is continuing and functions like ""and"" in english. This grammar is used only in WRITTEN form, the -て form is used in speech."
兄と違い、僕はスポーツがあまり得意じゃない。;Unlike my older brother, I'm not very good at sports.;"A-stem + く、－  The stem of an i-adjective (多い）+ く indicate that the sentece is continuing and functions like ""and"" in english. This grammar is used only in WRITTEN form, the -て form is used in speech."
あの図書館は日本の本が少なく、日本の新聞もなかったので、一度しか行かなかった。;That library didn't have many Japanese books, and it didn't have any Japanese newspaper either, so I only went there once.;"A-stem + く、－  The stem of an i-adjective (多い）+ く indicate that the sentece is continuing and functions like ""and"" in english. This grammar is used only in WRITTEN form, the -て form is used in speech."
この地方は冬は雪が多く、夏はとても暑い。;In this region, there is a lot of snow in the winter, and the summers are very hot.;"A-stem + く、－  The stem of an i-adjective (多い）+ く indicate that the sentece is continuing and functions like ""and"" in english. This grammar is used only in WRITTEN form, the -て form is used in speech."
昨日は友達とレストランで晩御飯を食べ、その後、映画を見に行った。;Yesterday I ate lunch at a restaurant with friends, and after that we went to see a movie.;"V-masu, --  The masu stem of a verb indicate that the sentence is continuing. That is, it functions like the english ""and."" This use of grammar is only for WRITTEN passages and FORMAL SPEECH; the ーて form is used for this purpose in typical spoken language."
晩御飯はたいてい家で食べますが、時々友達とレストランに行くこともあります。;I usually eat dinner at home, but there are times when I go out to eat with friends, too.;V-plain-nonpast こともある。 V-plain-nonpast こともある is used when something occurs (or someone does something) occasionally, and the も implies that something else may also occur. ***DO NOT CONFUSE with V-plain.PAST ことがある which states previous experience.
文法の説明を読んでもわからないことがある。そんな時は先生に聞きに行くことにしている。;Sometimes I can't understand the grammar even when I read the explanation. When that happens, I make it a habit to go ask my teacher.;V-plain-nonpast ことがある。 Used to indicated when something occurs (or someone does something) occassionally.  ***DO NOT CONFUSE with V-plain.PAST ことがある which states previous experience.
ハワイは1年中気温が高いけれど、高い山では雪が降ることもあるそうだ。;Hawaii is warm all year around, but I hear that there are times when it snows in the high mountains.;V-plain-nonpast こともある。 V-plain-nonpast こともある is used when something occurs (or someone does something) occasionally, and the も implies that something else may also occur. ***DO NOT CONFUSE with V-plain.PAST ことがある which states previous experience.
週末はたいてい両親の家に帰るが、忙しくて帰られないこともある。;I usually go home to my parent's house on weekends, but there are times when I get busy and can't go home.;V-plain-nonpast こともある。 V-plain-nonpast こともある is used when something occurs (or someone does something) occasionally, and the も implies that something else may also occur. ***DO NOT CONFUSE with V-plain.PAST ことがある which states previous experience.
文法の説明を読んでも分からないことがある;Sometimes I don't understand the grammar explanation even though I read it.;V-plain-nonpast ことがある。 Used to indicated when something occurs (or someone does something) occassionally.  ***DO NOT CONFUSE with V-plain.PAST ことがある which states previous experience.
日本人が大好きな桜の花がいつ頃咲くかは、場所によって違います。;The approximate blooming time for Sakura, beloved by the Japanese, differs depending on location;Question wordかはNによって違う。 This structure is used to indicate that something differs depending on the situation, location, time, etc.
性格(character)は人によって違います。;Character differs depending on the person.;NかはN2によって違う。  This structure is used to indicate that something differs depending on the situation, location, time, etc.
何歳で運転免許が取れるかは、国によって違うようです。;It seems that the age at which you can get your driver's license differs depending on the country.;NかはN2によって違う。  This structure is used to indicate that something differs depending on the situation, location, time, etc.
私にとって、読み物が難しいかどうかは、漢字の多さによります。;"To me, whether I find a book difficult or not depends on the ""numerousness"" of the kanji.";ーかどうかは、N2による。 Whether ー or not depends on N2.  This structure is used to indicate that something differs depending on the situation, location, time, etc.
授業料をいくら払わなくてはいけないかは、大学によって違う。;How much tuition you have to pay differs depending on the university.;NかはN2によって違う。  This structure is used to indicate that something differs depending on the situation, location, time, etc.
どの大学に留学するかは、もらえる奨学金による。;Where (lit. at what university) I study abroad depends on how big a scholarship I can get.;ーかは、N2による。 Whether ー or not depends on N2.  This structure is used to indicate that something differs depending on the situation, location, time, etc.
この地方では、１１月になると雪が降り始めます。;When it turns November in this region, snow begins to fall.;"V-masu　始める。  始める in this use is an auxiliary verb meaning ""begin to V."""
私の弟は1歳の時、歩き始めました。そして、1歳半になった時、話し始めました。;My little brother started walking when he was one year old. He started talking when he was one and a half.;"V-masu　始める。  始める in this use is an auxiliary verb meaning ""begin to V."""
 毎晩コーラスぶの練習があるので、勉強をし始めるのはいつも10時過ぎだ。;Because I have practice at chorus club every night, I always start studying after 10:00.;"V-masu　始める。  始める in this use is an auxiliary verb meaning ""begin to V."""
友達へのプレゼント。;a present for a friend.;N(particle)　のN2  The のmust be present in this grammar usage because it indicates that the N(particle) modifies N2. Without の, the N(particle) otherwise N(part) seems to modify the predicate in the clause. i.e. compare 先生とミーチングに行けない。(I can't go to meet the teacher) and 先生とのミーチングに行けない。(I can't go to the meeting with the teacher).
日本での仕事;a job in Japan;The のmust be present in this grammar usage because it indicates that the N(particle) modifies N2. Without の, the N(particle) otherwise N(part) seems to modify the predicate in the clause. i.e. compare 先生とミーチングに行けない。(I can't go to meet the teacher) and 先生とのミーチングに行けない。(I can't go to the meeting with the teacher).
 先生とのミーティング ;a meeting with the teacher;The のmust be present in this grammar usage because it indicates that the N(particle) modifies N2. Without の, the N(particle) otherwise N(part) seems to modify the predicate in the clause. i.e. compare 先生とミーチングに行けない。(I can't go to meet the teacher) and 先生とのミーチングに行けない。(I can't go to the meeting with the teacher).
八時からのパーティー。;a party which starts at 8.;The のmust be present in this grammar usage because it indicates that the N(particle) modifies N2. Without の, the N(particle) otherwise N(part) seems to modify the predicate in the clause. i.e. compare 先生とミーチングに行けない。(I can't go to meet the teacher) and 先生とのミーチングに行けない。(I can't go to the meeting with the teacher).
京都までの新幹線(しんかんせん）の切符（きっぷ）;a Shinkansen (bullet train) ticket to kyoto;The のmust be present in this grammar usage because it indicates that the N(particle) modifies N2. Without の, the N(particle) otherwise N(part) seems to modify the predicate in the clause. i.e. compare 先生とミーチングに行けない。(I can't go to meet the teacher) and 先生とのミーチングに行けない。(I can't go to the meeting with the teacher).
世界で一番長い川はナイルだと言われているが、アマゾン川だと言う人もいる。;The Nile river is said to be the longest river in the world, but there are also people who say it is the Amazon river.;"ーはSentence-plainと言われているがX  ""Sentence-plain"" is said to be ー、but X  This structure is used to introduce something commonly said about something or someone."
道後温泉は日本の一番古い温泉で、３０００年の歴史があると言われています。;It is said that the Dougo Onsen, with 3000 years of history, is the oldest onsen in Japan.;ーはS-plainと言われている。 It is said that ーis S-plain。
「電気の町」秋葉原は、最近「お宅の町」だとも言われている。;"Akihabara used to be called ""Electronics Town"", but now it's called ""Otaku Town""";ーはS-plainと言われている。 It is said that ーis S-plain。
 風を引いたときはビタミンCをたくさん撮るといいと言われている。;They say it's good to take lots of vitamin C when you get a cold.;ーはS-plainと言われている。 It is said that ーis S-plain。
