<div class=jp> この皿はプラスチックで、そして、このコップは紙でできている。 </div>;"<div class=jp> ---N でできている This grammar (でできている）is used when describing something specific. i.e. the ""plate"" and ""cup."" </div><br> This plate is made from plastic, and this cup is made from paper."
<div class=jp> チーズやヨーグルトは牛乳からできます。 </div>;<div class=jp> ---からできます。  N  から indicates the materials are not immediately obvious. できる is used for general statements. </div><br> Cheese and yogurt are made from milk.
<div class=jp> プラスチックは石油からできる。 </div>;<div class=jp> ---からできます。  N  から indicates the materials are not immediately obvious. できる is used for general statements. </div><br> Plastic is made from petroleum.
<div class=jp> ワインはブドウからできますが、お酒はお米からできます。 </div>;<div class=jp> ---からできます。  N  から indicates the materials are not immediately obvious. できる is used for general statements. </div><br> Wine is made from grapes, but sake is made from rice.
<div class=jp>日本には木でできた家が多いが、この国の家はたいてい石でできている </div>;"<div class=jp> ---N でできている This grammar (でできている）is used when describing something specific. i.e. the ""plate"" and ""cup."" </div><br> In Japan, most houses are made out of wood, but houses in this country are usually made out of stone."
<div class=jp> この荷物の重さは何キロくらいでしょうか。 </div>;"<div class=jp> The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."" </div><br> How heavy do you think this bag is? / I wonder how heavy this bag is?."
<div class=jp> 富士山の高さは何キロくらいでしょうか。 </div>;"<div class=jp> The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."" </div><br> About how many meters is the height of Mt. Fuji, I wonder."
<div class=jp> この話の良さがわからない人はいないと思います。 </div>;"<div class=jp> The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."" </div><br> I don't think there's anyone who wouldn't understand the merit of this story."
<div class=jp> 日本の携帯電話の便利さには、びっくりした。 </div>;"<div class=jp> The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun. The typical effect is the addition of this suffix ""-ness,"" as in ""niceness"" or ""-ty,"" as in ""rarity."" </div><br> I was surprised by how useful Japanese cell phones are."
<div class=jp> この本のよさがよく分かる。 </div>;"<div class=jp> よさ　is the irregular conjugation of いい　to a noun by the addition of the suffix -さ。 </div><br> I know well the ""goodness"" of this book."
<div class=jp> これはチョコレートのように見えるけれど、消しゴムだから、食べられませんよ。 </div>;<div class=jp> N のように used when X is as Y shows, says, explains. </div><br> You can see that this looks like chocolate, but it is an eraser, so you can't eat it.
<div class=jp> 小さい猫の声は、赤ちゃんが泣いているように聞こえます。 </div>;<div class=jp> V-plain ように used when X does something as shown/said/explained/etc. in/by Y. </div><br> As you can see if you look at these photos, there are various famous locations in London.
<div class=jp> 先生がおっしゃるように、言葉は毎日勉強しなければ上手にならないと思います。 </div>;<div class=jp> V-plain ように used when X does something as shown/said/explained/etc. in/by Y. </div><br> Like our teacher says, I don't think you can become skillful at a language unless you practice every day.
<div class=jp> この写真を見れば分かるように、ロンドンには、色々な名所がある。 </div>;<div class=jp> V-plain ように used when X does something as shown/said/explained/etc. in/by Y. </div><br> The kitten's meowing sounds like a baby crying.
<div class=jp> この本に書いてあるように作れば、おいしいドレッシングができるよ。 </div>;<div class=jp> V-plain ように used when X does something as shown/said/explained/etc. in/by Y. </div><br> You can make delicious dressing if you follow the recipe in this book (lt. make it as if it's written in this book).
<div class=jp> 小さい猫の声は、赤ちゃんが泣いているように聞こえます。 </div>;<div class=jp> V-plain のように used when X resembles Y </div><br> The voice of a small cat sounds like a crying baby.
<div class=jp> エジプトはピラミッドやスフィンクスで有名です。 </div>;<div class=jp> ーはNで有名です。 -- is famous for N. </div><br> Egypt is famous for pyramids and the sphinx.
<div class=jp> このお寺は古い桜の木があることで知られている。 </div>;<div class=jp> ---はSことで知られている。  --- is known for S(entence/statement). </div><br> This temple is known for its old cherry blossom trees.
<div class=jp> 熊は冬眠することで知られていますが、動物園の雲も討論をしますか。 </div>;<div class=jp> ---はSことで知られている。  --- is known for S(entence/statement). </div><br> Bears are known for hibernating, but do bears in zoos hinbernate, too?
<div class=jp> スミスさんは昼は大学で勉強し、夜は病院で掃除のアルバイトをしている。 </div>;"<div class=jp> A-stem + く、－  The stem of an i-adjective (多い）+ く indicate that the sentece is continuing and functions like ""and"" in english. This grammar is used only in WRITTEN form, the -て form is used in speech. </div><br> Smith studies at college during the day and does part-time janitorial work at a hospital at night."
<div class=jp>兄と違い、僕はスポーツがマリ得意じゃない。 </div>;"<div class=jp> A-stem + く、－  The stem of an i-adjective (多い）+ く indicate that the sentece is continuing and functions like ""and"" in english. This grammar is used only in WRITTEN form, the -て form is used in speech. </div><br> Unlike my older brother, I'm not very good at sports."
